Zone,Company Type,Min Salary,Max Salary,Avg Salary,Experience,In School,Degree,Type
广州市,1,10000,15000,12500,2,0,0,数据分析师
上海市,1,8000,10000,9000,0,0,2,数据分析师
深圳市,1,6000,8000,7000,1,0,2,数据分析师
上海市,0,7000,20000,13500,1,0,1,数据分析师
上海市,1,15000,20000,17500,1,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,1,数据分析师
广州市,0,10000,15000,12500,3,0,1,数据分析师
深圳市,1,6000,8000,7000,1,0,2,数据分析师
上海市,1,8000,13000,10500,1,0,2,数据分析师
深圳市,1,8000,15000,11500,1,0,1,数据分析师
广州市,1,10000,20000,15000,2,0,1,数据分析师
上海市,1,5000,8000,6500,1,0,2,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,1,8000,15000,11500,1,0,2,数据分析师
广州市,1,6000,10000,8000,2,0,2,高级分析师
深圳市,1,8000,15000,11500,1,0,1,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
上海市,1,15000,18000,16500,2,0,2,高级分析师
深圳市,1,7000,9000,8000,2,0,2,数据分析师
上海市,0,10000,15000,12500,2,0,2,数据分析师
深圳市,1,20000,25000,22500,2,0,2,数据分析师
广州市,1,8000,15000,11500,1,0,2,数据工程师
广州市,1,15000,20000,17500,3,0,2,高级分析师
上海市,0,16000,20000,18000,3,0,2,数据分析师
广州市,1,22000,40000,31000,2,0,2,数据分析师
上海市,0,10000,15000,12500,2,0,2,数据分析师
广州市,1,25000,35000,30000,3,0,2,高级分析师
上海市,1,12000,25000,18500,2,0,2,数据分析师
深圳市,1,15000,25000,20000,1,0,2,数据分析师
广州市,1,15000,30000,22500,3,0,2,数据分析师
上海市,1,8000,12000,10000,2,0,1,数据分析师
深圳市,1,8000,10000,9000,1,0,1,数据分析师
深圳市,1,6000,8000,7000,1,0,2,数据分析师
上海市,1,15000,18000,16500,1,0,2,数据分析师
广州市,1,8000,12000,10000,1,0,1,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
上海市,1,10000,15000,12500,2,0,1,数据分析师
深圳市,1,13000,22000,17500,1,0,2,数据分析师
广州市,1,10000,16000,13000,1,0,2,数据分析师
上海市,0,10000,15000,12500,3,0,2,数据分析师
广州市,1,8000,15000,11500,0,0,1,数据分析师
深圳市,1,13000,17000,15000,2,0,2,数据分析师
东莞市,1,6000,10000,8000,1,0,2,数据分析师
上海市,1,15000,20000,17500,2,0,2,数据分析师
广州市,1,12000,15000,13500,1,0,2,数据分析师
深圳市,1,7000,9000,8000,1,0,1,数据分析师
上海市,0,15000,25000,20000,3,0,1,数据分析师
上海市,1,10000,20000,15000,1,0,2,数据分析师
广州市,1,10000,20000,15000,3,0,2,高级分析师
深圳市,1,15000,20000,17500,1,0,2,高级分析师
上海市,0,15000,20000,17500,1,0,2,数据分析师
广州市,1,9000,11000,10000,1,0,2,数据分析师
上海市,0,15000,20000,17500,2,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,1,数据分析师
广州市,1,8000,15000,11500,2,0,2,数据分析师
上海市,1,6000,8000,7000,1,0,1,数据分析师
广州市,1,6000,10000,8000,3,0,2,数据分析师
上海市,1,13000,15000,14000,2,0,2,高级分析师
广州市,0,6000,8000,7000,1,0,2,数据分析师
深圳市,1,10000,16000,13000,2,0,2,数据分析师
上海市,0,25000,30000,27500,3,0,2,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
广州市,1,8000,15000,11500,0,0,1,数据分析师
广州市,1,8000,12000,10000,1,0,2,数据分析师
深圳市,1,5000,8000,6500,1,0,1,数据分析师
深圳市,0,10000,15000,12500,2,0,2,数据分析师
广州市,1,8000,12000,10000,1,0,1,数据分析师
深圳市,1,13000,20000,16500,1,0,2,数据分析师
北京市,1,15000,30000,22500,3,0,2,数据分析师
北京市,1,12000,18000,15000,2,0,2,数据分析师
北京市,1,15000,30000,22500,0,0,2,数据分析师
北京市,0,10000,15000,12500,1,0,2,数据分析师
北京市,1,15000,30000,22500,2,0,2,高级分析师
北京市,1,8000,10000,9000,1,0,2,数据分析师
北京市,1,6000,8000,7000,1,0,2,数据分析师
北京市,1,13000,18000,15500,2,0,2,数据分析师
北京市,0,8333,16666,12500,2,0,2,数据分析师
武汉市,0,5000,8000,6500,0,0,2,数据分析师
北京市,0,20000,40000,30000,3,0,2,高级分析师
武汉市,1,4500,7000,5750,1,0,0,数据分析师
武汉市,1,8000,14000,11000,1,0,2,数据工程师
北京市,1,9000,12000,10500,1,0,2,数据分析师
武汉市,1,6000,8000,7000,0,0,1,数据分析师
北京市,1,8000,15000,11500,2,0,2,数据分析师
武汉市,1,6000,8000,7000,1,0,2,数据工程师
武汉市,1,4000,7000,5500,1,0,1,数据分析师
北京市,0,10000,15000,12500,1,0,2,数据分析师
