url,title,area,salary,company_type,requirements,company_name
https://msearch.51job.com/jobs/zhengzhou/131415317.html?jobtype=0_0&rc=03,政府项目顾问（氛围好/收入高）,郑州-管城回族区,0.8-1.3万/月,民营公司,本科 | 无需经验,维正集团
https://msearch.51job.com/jobs/zhengzhou/126182539.html?jobtype=0_0&rc=03,023262-经营分析岗（正式编制）,郑州-郑东新区,8-10万/年,上市公司,本科 | 1年,中国平安人寿保险股份有限公司河南分公司
https://msearch.51job.com/jobs/hefei/133567781.html?jobtype=0_0&rc=03,高薪数据分析师,合肥-蜀山区,0.8-1万/月,民营公司,大专 | 无需经验,合肥雅海网络科技有限责任公司
https://msearch.51job.com/jobs/shanghai/133681450.html?jobtype=0_0&rc=03,数据分析师,合肥-经开区,1-1.5万/月,民营公司,本科 | 2年,买道传感科技（上海）有限公司
https://msearch.51job.com/jobs/hefei/130304015.html?jobtype=0_0&rc=03,数据分析师,合肥,1-1.5万/月,民营公司,本科 | 3-4年,合肥维天运通信息科技股份有限公司
https://msearch.51job.com/jobs/hefei/133217395.html?jobtype=0_0&rc=03,数据分析师(J25105),合肥-包河区,0.8-1万/月,民营公司,本科 | 3-4年,合肥新东方外语培训学校
https://msearch.51job.com/jobs/hefei/98360450.html?jobtype=0_0&rc=03,数据分析师,合肥-高新区,1-2万/月,民营公司,本科 | 3-4年,安徽科讯金服科技有限公司
https://msearch.51job.com/jobs/hefei/131973853.html?jobtype=0_0&rc=03,数据分析师,合肥-包河区,1-1.5万/月,民营公司,本科 | 3-4年,合肥一品科技有限公司
https://msearch.51job.com/jobs/hefei/131358030.html?jobtype=0_0&rc=03,数据分析师,合肥-高新区,5-7千/月,民营公司,本科 | 2年,安徽科创中光科技有限公司
https://msearch.51job.com/jobs/hefei/124632815.html?jobtype=0_0&rc=03,数据分析师,合肥-高新区,0.8-1万/月,民营公司,本科 | 3-4年,安徽皖仪科技股份有限公司
https://msearch.51job.com/jobs/hefei/130008703.html?jobtype=0_0&rc=03,高级数据分析师,合肥-高新区,1.5-2万/月,民营公司,本科 | 2年,合肥常春藤移动科技有限公司
https://msearch.51job.com/jobs/hefei/128979237.html?jobtype=0_0&rc=03,数据分析师,合肥,0.8-1.5万/月,民营公司,本科 | 3-4年,字节跳动
https://msearch.51job.com/jobs/hefei/129319348.html?jobtype=0_0&rc=03,数据分析师,合肥-蜀山区,0.8-1万/月,国企,本科 | 3-4年,合肥中科环境监测技术国家工程实验室有限公司
https://msearch.51job.com/jobs/hefei/133434556.html?jobtype=0_1&rc=03,数据分析师,阜阳,0.8-1万/月,推广民营公司,本科 | 2年,安徽众森网络科技有限公司
https://msearch.51job.com/jobs/hefei/132937374.html?jobtype=0_0&rc=03,数据分析师（P0）,合肥-高新区,2.5-3.5万/月,民营公司,本科 | 5-7年,深圳樱吉尔企业咨询管理有限公司
https://msearch.51job.com/jobs/hefei/128827395.html?jobtype=0_0&rc=03,诚聘高薪数据分析师+提供住宿,合肥-蜀山区,0.8-1万/月,上市公司,无需经验,安徽泰盈信息科技有限公司
https://msearch.51job.com/jobs/hefei/127014722.html?jobtype=0_0&rc=03,数据分析师,合肥-庐阳区,5-7千/月,上市公司,本科 | 无需经验,中国平安人寿保险股份有限公司合肥电话销售中心
https://msearch.51job.com/jobs/hefei/129285841.html?jobtype=0_0&rc=03,电池数据分析师,合肥,0.7-1万/月,民营公司,本科 | 1年,安徽优旦科技有限公司
https://msearch.51job.com/jobs/hefei/131783078.html?jobtype=0_0&rc=03,数据分析师（安徽省电力公司）,合肥-包河区,1.5-2万/月,民营公司,本科 | 3-4年,北京源通电力科技有限公司
https://msearch.51job.com/jobs/hefei/133518396.html?jobtype=0_0&rc=03,大数据高级分析师,合肥-经开区,2-3万/月,合资,硕士 | 5-7年,联宝（合肥）电子科技有限公司
https://msearch.51job.com/jobs/hefei/131143991.html?jobtype=0_0&rc=03,数据分析师,合肥-经开区,0.8-1.3万/月,民营公司,本科 | 3-4年,安徽扬子工业科技有限公司
